CODICE VEICOLO;TARGA;BRAND;MODELLO;DESCRIZIONE MOD.;ALIMENTAZIONE;CAMBIO;COLORE ESTERNO;COLORE INTERNO;OPTIONAL;PREVISTA CONSEGNA;neopatentati
40792815;;FORD;TRANSIT ALLESTITO;FORD TRANSIT ALLESTITO 350 L3 Trend 2.0 Eco 130Cv SCAT Cassone a sponde abbattibili 2-door (Euro 6E) ;Diesel;MAN6;Frozen White pastello;Tessuto Trend;Paraspruzzi anteriori,Rigenerazione manuale FAP (SVO A660),Ruota di scorta,Seat Pack 8A,Specchietti retrovisori esterni elettrici, riscaldati e ripiegabili elettricamente braccio corto;25/05/2026;ND
40793644;;CITROËN;C5 AIRCROSS;CITROËN C5 AIRCROSS Hybrid 145 cv Automatico You Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Platinium Grey metallizzato;Ambiente Urban - tessuto grigio e nero;Kit riparazione pneumatici,Vernice metallizzata;12/06/2026;SI
40793688;;CITROËN;C5 AIRCROSS;CITROËN C5 AIRCROSS Hybrid 145 cv Automatico You Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Nero Perla Black metallizzato;Ambiente Urban - tessuto grigio e nero;Kit riparazione pneumatici,Vernice metallizzata;01/06/2026;SI
40793692;;CITROËN;C5 AIRCROSS;CITROËN C5 AIRCROSS Hybrid 145 cv Automatico You Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Okénite White metallizzato;Ambiente Urban - tessuto grigio e nero;Kit riparazione pneumatici,Vernice metallizzata;08/06/2026;SI
40793696;;CITROËN;C5 AIRCROSS;CITROËN C5 AIRCROSS Hybrid 145 cv Automatico You Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Okénite White metallizzato;Ambiente Urban - tessuto grigio e nero;Kit riparazione pneumatici,Vernice metallizzata;01/06/2026;SI
40794035;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Artense metallizzato;Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;08/06/2026;SI
40794043;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Artense metallizzato;Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;01/06/2026;SI
40794056;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Artense metallizzato;Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;15/06/2026;SI
40794057;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Grigio Artense metallizzato;Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;08/06/2026;SI
40794128;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite (metallizzato);Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;08/06/2026;SI
40794130;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite (metallizzato);Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;15/06/2026;SI
40794135;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite (metallizzato);Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;15/06/2026;SI
40794139;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite (metallizzato);Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;08/06/2026;SI
40794168;;PEUGEOT;3008;PEUGEOT 3008 Hybrid 145 Allure e-DCS 6 Sport utility vehicle 5-door (Euro 6E) ;Petrol Mild Hybrid;AUT6;Bianco Okenite (metallizzato);Tessuto in rilievo CRISPY/TEP Isabella, dettagli in tessuto RIMINI, cuciture Quartz Grey;Kit riparazione pneumatici,Tinte metallizzate;15/06/2026;SI
40794419;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Polar White metallizzato;Interni Blue&Black;;30/04/2026;SI
40794428;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Polar White metallizzato;Interni Blue&Black;;20/05/2026;SI
40794446;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Polar White metallizzato;Interni Blue&Black;;06/04/2026;SI
40794448;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Polar White metallizzato;Interni Blue&Black;;06/04/2026;SI
40794453;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Polar White metallizzato;Interni Blue&Black;;20/05/2026;SI
40794457;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Polar White metallizzato;Interni Blue&Black;;30/04/2026;SI
40794495;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Obsidian Black metallizzato;Interni Blue&Black;Vernice metallizzata;30/04/2026;SI
40794498;;BYD;SEAL 6 DM-I TOURING;BYD SEAL 6 DM-I TOURING 1.5 212cv Touring Comfort SW 5-door (Euro 6E) ;Petrol Plug-In;AUT;Obsidian Black metallizzato;Interni Blue&Black;Vernice metallizzata;30/04/2026;SI
40794984;;DACIA;DUSTER;DACIA DUSTER 1.2 Eco-G 120cv Expression Sport utility vehicle 5-door (Euro 6E) ;LPG;MAN6;Lichen Kaki;Sellerie Denim;Vernice opaca;25/06/2026;ND
40794995;;DACIA;DUSTER;DACIA DUSTER 1.2 Eco-G 120cv Expression Sport utility vehicle 5-door (Euro 6E) ;LPG;MAN6;Lichen Kaki;Sellerie Denim;Vernice opaca;25/06/2026;ND
40795287;;FIAT;PANDINA;FIAT PANDINA 1.0 FireFly 65cv S&S 6m Hybrid Icon Hatchback 5-door (Euro 6E) ;Petrol Mild Hybrid;MAN6;Nero Cinema pastello;Tessuto Nero;Kit 5 posti,Nero Cinema pastello,Ruotino di scorta;31/05/2026;SI
